Date,Con,Lab,Lib Dem,UKIP,Green
2014-07-06,27.0,34.0,11.0,15.0,6.0
2014-07-06,31.0,38.0,9.0,14.0,4.0
2014-07-04,34.0,36.0,8.0,13.0,5.0
2014-07-03,34.0,35.0,9.0,14.0,4.0
2014-07-03,35.0,36.0,8.0,12.0,4.0
2014-07-03,29.0,35.0,7.0,18.0,5.0
2014-07-02,35.0,37.0,8.0,12.0,5.0
2014-07-01,33.0,38.0,8.0,11.0,5.0
2014-06-30,35.0,37.0,8.0,12.0,3.0
2014-06-29,30.0,32.0,7.0,18.0,5.0
2014-06-29,33.0,37.0,10.0,12.0,4.0
2014-06-29,33.0,31.0,9.0,15.0,6.0
2014-06-27,27.0,36.0,7.0,22.0,5.0
2014-06-27,33.0,37.0,8.0,14.0,5.0
2014-06-26,34.0,35.0,8.0,13.0,5.0
2014-06-26,33.0,38.0,8.0,13.0,4.0
2014-06-25,32.0,37.0,7.0,14.0,5.0
2014-06-24,33.0,36.0,8.0,15.0,4.0
2014-06-23,32.0,36.0,9.0,15.0,4.0
2014-06-22,28.0,33.0,9.0,17.0,7.0
2014-06-22,32.0,37.0,9.0,13.0,3.0
2014-06-20,32.0,38.0,8.0,14.0,5.0
2014-06-19,34.0,36.0,8.0,13.0,3.0
2014-06-19,33.0,37.0,8.0,15.0,3.0
2014-06-19,31.0,35.0,7.0,17.0,5.0
2014-06-18,34.0,38.0,7.0,13.0,5.0
2014-06-17,34.0,37.0,7.0,13.0,4.0
2014-06-17,31.0,34.0,8.0,14.0,8.0
2014-06-16,32.0,36.0,10.0,14.0,5.0
2014-06-15,31.0,32.0,10.0,16.0,6.0
2014-06-15,29.0,35.0,8.0,15.0,6.0
2014-06-15,33.0,37.0,9.0,13.0,4.0
2014-06-13,33.0,37.0,8.0,13.0,5.0
2014-06-13,32.0,34.0,7.0,18.0,4.0
2014-06-12,33.0,36.0,8.0,14.0,5.0
2014-06-12,32.0,35.0,8.0,15.0,5.0
2014-06-12,32.0,38.0,8.0,12.0,5.0
2014-06-12,29.0,35.0,6.0,23.0,7.0
2014-06-11,34.0,36.0,6.0,14.0,5.0
2014-06-10,35.0,37.0,8.0,12.0,3.0
2014-06-09,31.0,37.0,7.0,15.0,5.0
2014-06-08,28.0,32.0,8.0,17.0,7.0
