Date,ÖVP,SPÖ,FPÖ,Grüne,NEOS,KPÖ,BIER
2021-02-18,37.0,24.0,17.0,8.0,10.0,,
2021-02-17,37.0,25.0,14.0,12.0,10.0,,
2021-02-11,36.0,23.0,17.0,10.0,11.0,,
2021-02-11,38.0,24.0,16.0,9.0,10.0,,
2021-02-04,39.0,24.0,15.0,9.0,10.0,,
2021-02-01,35.0,24.0,18.0,10.0,11.0,,
2021-01-14,37.0,22.0,16.0,14.0,10.0,,
2021-01-07,39.0,23.0,16.0,9.0,9.0,,
2020-12-21,39.0,23.0,13.0,14.0,9.0,,
2020-12-15,40.0,23.0,13.0,13.0,9.0,,
2020-12-17,40.0,22.0,15.0,10.0,10.0,,
2020-12-12,39.0,22.0,16.0,13.0,9.0,,
2020-12-02,39.0,23.0,14.0,14.0,8.0,,
2020-12-01,40.0,20.0,15.0,13.0,10.0,,
2020-12-03,40.0,22.0,13.0,10.0,11.0,,
2020-11-19,41.0,22.0,12.0,11.0,10.0,,
2020-11-12,41.0,22.0,12.0,11.0,10.0,,
2020-11-06,38.0,21.0,16.0,12.0,10.0,,
2020-10-29,40.0,22.0,10.0,11.0,10.0,,
2020-10-01,40.0,23.0,11.0,16.0,8.0,,
2020-10-22,41.0,21.0,10.0,12.0,10.0,,
2020-09-18,39.0,20.0,16.0,16.0,8.0,,
2020-10-16,40.0,22.0,13.0,13.0,9.0,,
2020-09-30,41.0,20.0,11.0,12.0,9.0,,
2020-09-24,41.0,20.0,12.0,12.0,9.0,,
2020-09-18,39.0,20.0,16.0,16.0,8.0,,
2020-09-16,42.0,19.0,12.0,12.0,9.0,,
2020-08-27,42.0,18.0,13.0,14.0,8.0,,
2020-08-27,41.0,19.0,13.0,14.0,8.0,,
2020-08-20,41.0,18.0,15.0,13.0,8.0,,
2020-08-13,41.0,18.0,15.0,16.0,9.0,,
2020-08-06,41.0,18.0,12.0,15.0,9.0,,
2020-07-22,42.0,19.0,11.0,15.0,8.0,,
2020-07-22,42.0,19.0,11.0,15.0,8.0,,
2020-07-16,41.0,19.0,15.0,16.0,8.0,,
2020-07-09,41.0,20.0,11.0,15.0,8.0,,
2020-07-09,41.0,20.0,11.0,15.0,8.0,,
2020-06-25,42.0,19.0,13.0,16.0,8.0,,
2020-06-24,42.0,19.0,11.0,15.0,8.0,,
2020-06-12,44.0,17.0,14.0,16.0,8.0,,
2020-06-10,42.0,19.0,12.0,16.0,7.0,,
2020-06-09,42.0,19.0,13.0,15.0,8.0,,
2020-05-28,43.0,18.0,12.0,16.0,7.0,,
2020-05-26,44.0,20.0,12.0,16.0,7.0,,
2020-05-19,43.0,21.0,12.0,17.0,6.0,,
2020-05-14,46.0,17.0,14.0,15.0,6.0,,
2020-05-13,44.0,21.0,11.0,17.0,6.0,,
2020-05-13,44.0,18.0,11.0,17.0,7.0,,
2020-05-06,45.0,17.0,10.0,18.0,6.0,,
2020-04-23,45.0,16.0,10.0,19.0,6.0,,
2020-04-22,44.0,20.0,10.0,18.0,7.0,,
2020-04-16,48.0,16.0,13.0,16.0,6.0,,
2020-04-14,46.0,17.0,10.0,16.0,7.0,,
2020-04-07,44.0,19.0,11.0,19.0,6.0,,
2020-04-07,41.0,18.0,10.0,19.0,7.0,,
2020-04-02,45.0,16.0,12.0,18.0,7.0,,
2020-03-31,43.0,19.0,11.0,19.0,7.0,,
2020-03-25,40.0,18.0,11.0,18.0,8.0,,
2020-03-13,39.0,16.0,17.0,16.0,9.0,,
2020-03-12,40.0,20.0,13.0,17.0,9.0,,
2020-03-11,39.0,17.0,12.0,17.0,9.0,,
2020-02-27,39.0,17.0,11.0,17.0,10.0,,
2020-02-14,38.0,15.0,16.0,17.0,10.0,,
2020-02-12,39.0,18.0,13.0,17.0,9.0,,
2020-02-12,39.0,18.0,12.0,17.0,9.0,,
2020-02-06,39.0,19.0,15.0,17.0,9.0,,
2020-01-31,39.0,17.0,13.0,17.0,10.0,,
2020-01-31,39.0,17.0,11.0,17.0,10.0,,
2020-01-31,40.0,18.0,15.0,14.0,9.0,,
2020-01-23,39.0,16.0,13.0,17.0,11.0,,
2020-01-23,39.0,16.0,12.0,17.0,11.0,,
2020-01-16,39.0,16.0,13.0,17.0,10.0,,
2020-01-16,39.0,16.0,12.0,17.0,10.0,,
2020-01-15,39.0,17.0,15.0,17.0,9.0,,
2020-01-10,38.0,16.0,16.0,17.0,10.0,,
2020-01-09,39.0,17.0,13.0,17.0,9.0,,
2020-01-09,39.0,17.0,12.0,17.0,9.0,,
2019-12-19,39.0,19.0,14.0,16.0,10.0,,
2019-12-19,39.0,17.0,15.0,16.0,9.0,,
2019-12-19,38.0,17.0,14.0,16.0,9.0,,
2019-12-13,39.0,18.0,15.0,17.0,10.0,,
2019-12-12,39.0,17.0,14.0,16.0,9.0,,
2019-12-12,38.0,17.0,14.0,16.0,9.0,,
2019-12-05,39.0,17.0,14.0,16.0,10.0,,
2019-12-05,38.0,17.0,14.0,16.0,10.0,,
2019-12-04,39.0,18.0,15.0,16.0,10.0,,
2019-11-28,38.0,18.0,14.0,16.0,10.0,,
2019-11-28,37.0,18.0,14.0,16.0,9.0,,
2019-11-21,38.0,20.0,14.0,16.0,9.0,,
2019-11-21,37.0,19.0,14.0,16.0,9.0,,
2019-11-15,38.0,19.0,17.0,16.0,9.0,,
2019-11-14,38.0,20.0,15.0,16.0,8.0,,
2019-11-14,37.0,19.0,14.0,16.0,8.0,,
2019-11-13,38.0,20.0,15.0,15.0,9.0,,
2019-11-07,37.0,20.0,15.0,16.0,9.0,,
2019-10-31,38.0,19.0,15.0,16.0,9.0,,
2019-10-25,38.0,19.0,15.0,15.0,9.0,,
2019-10-25,37.0,19.0,14.0,15.0,9.0,,
2019-10-25,37.0,19.0,14.0,14.0,9.0,,
2019-10-17,38.0,20.0,16.0,15.0,9.0,,
2019-10-16,38.0,20.0,15.0,15.0,8.0,,
2019-10-11,37.0,20.0,17.0,15.0,9.0,,
